##NAMES=Magnesioferrite
##LOCALITY=Langban, Sweden
##RRUFFID=R060869
##CHEMISTRY=MgFe^3+^_2_O_4_
8.797681e+001, 4.259026e+001
8.990527e+001, 4.698671e+001
9.183374e+001, 4.955354e+001
9.376221e+001, 4.824298e+001
9.569067e+001, 4.789557e+001
9.761914e+001, 5.025121e+001
9.954761e+001, 5.697802e+001
1.014761e+002, 6.417937e+001
1.034045e+002, 6.733926e+001
1.053330e+002, 7.000851e+001
1.072615e+002, 8.271087e+001
1.091899e+002, 1.075191e+002
1.111184e+002, 1.431913e+002
1.130469e+002, 1.911277e+002
1.149753e+002, 2.523713e+002
1.169038e+002, 3.237346e+002
1.188323e+002, 4.101565e+002
1.207607e+002, 5.124542e+002
1.226892e+002, 6.095847e+002
1.246177e+002, 7.045115e+002
1.265461e+002, 7.925952e+002
1.284746e+002, 8.630281e+002
1.304031e+002, 9.066708e+002
1.323315e+002, 9.420767e+002
1.342600e+002, 9.799694e+002
1.361885e+002, 1.025091e+003
1.381169e+002, 1.065628e+003
1.400454e+002, 1.099977e+003
1.419739e+002, 1.128220e+003
1.439023e+002, 1.152497e+003
1.458308e+002, 1.172717e+003
1.477593e+002, 1.188822e+003
1.496877e+002, 1.199798e+003
1.516162e+002, 1.201066e+003
1.535447e+002, 1.201304e+003
1.554731e+002, 1.201208e+003
1.574016e+002, 1.200198e+003
1.593301e+002, 1.203375e+003
1.612585e+002, 1.214201e+003
1.631870e+002, 1.230112e+003
1.651155e+002, 1.243669e+003
1.670439e+002, 1.255405e+003
1.689724e+002, 1.264971e+003
1.709009e+002, 1.272173e+003
1.728293e+002, 1.275570e+003
1.747578e+002, 1.279529e+003
1.766863e+002, 1.283410e+003
1.786147e+002, 1.287530e+003
1.805432e+002, 1.295182e+003
1.824717e+002, 1.310261e+003
1.844001e+002, 1.326477e+003
1.863286e+002, 1.338602e+003
1.882571e+002, 1.343670e+003
1.901855e+002, 1.347008e+003
1.921140e+002, 1.348439e+003
1.940425e+002, 1.348282e+003
1.959709e+002, 1.349928e+003
1.978994e+002, 1.358582e+003
1.998279e+002, 1.369148e+003
2.017563e+002, 1.372759e+003
2.036848e+002, 1.359872e+003
2.056133e+002, 1.348899e+003
2.075417e+002, 1.349906e+003
2.094702e+002, 1.365589e+003
