##NAMES=Magnesioferrite
##LOCALITY=Langban, Sweden
##RRUFFID=R060869
##CHEMISTRY=MgFe^3+^_2_O_4_
83.91797, 0.0000000E+00
84.40009, 0.1376500
84.88220, 5.767990
85.36432, 19.18619
85.84644, 28.81963
86.32855, 27.10706
86.81067, 19.33284
87.29279, 12.68828
87.77490, 7.880371
88.25701, 5.211594
88.73913, 5.648056
89.22124, 9.660095
89.70336, 14.22820
90.18548, 17.12070
90.66759, 16.96107
91.14971, 15.56039
91.63183, 13.78989
92.11395, 12.77791
92.59606, 14.77953
93.07818, 21.07155
93.56030, 26.97208
94.04241, 27.30772
94.52453, 23.94978
95.00665, 21.61441
95.48875, 15.95418
95.97087, 19.64473
96.45299, 25.02389
96.93510, 24.95609
97.41722, 28.34554
97.89934, 32.08278
98.38145, 35.73517
98.86357, 38.25328
99.34569, 38.79829
99.82780, 37.35509
100.3099, 34.08641
100.7920, 28.11736
101.2742, 19.43398
101.7563, 13.76093
102.2384, 11.68940
102.7205, 11.88317
103.2026, 12.97200
103.6847, 16.24847
104.1668, 17.67010
104.6490, 15.07672
105.1311, 5.441437
105.6132, 0.2769780
106.0953, 0.6369170
106.5774, 5.422516
107.0595, 4.983215
107.5417, 8.321198
108.0238, 19.94655
108.5059, 22.52317
108.9880, 3.805878
109.4701, 9.476852
109.9522, 13.81622
110.4344, 9.782028
110.9165, 6.972137
111.3986, 4.950546
111.8807, 4.790527
112.3628, 7.326050
112.8449, 16.26009
113.3271, 24.49487
113.8092, 29.81407
114.2913, 31.49760
114.7734, 34.11865
115.2555, 40.65282
115.7376, 48.40462
116.2198, 53.69238
116.7019, 50.82452
117.1840, 48.38197
117.6661, 51.75691
118.1482, 64.51021
118.6303, 76.26387
119.1124, 78.07976
119.5946, 74.31459
120.0767, 75.90285
120.5588, 97.02589
121.0409, 122.2188
121.5230, 136.5772
122.0051, 128.9796
122.4873, 117.9016
122.9694, 119.2845
123.4515, 131.7132
123.9336, 145.7019
124.4157, 155.7970
124.8979, 162.7383
125.3800, 167.7834
125.8621, 170.2274
126.3442, 171.5716
126.8263, 174.1922
127.3084, 178.1579
127.7905, 182.0633
128.2727, 183.6842
128.7548, 183.7328
129.2369, 184.8309
129.7190, 190.4648
130.2011, 198.2748
130.6832, 200.5013
131.1654, 195.8083
131.6475, 188.2366
132.1296, 183.8804
132.6117, 182.6553
133.0938, 181.8040
133.5759, 179.5960
134.0581, 176.1254
134.5402, 172.7955
135.0223, 169.3705
135.5044, 166.4525
135.9865, 165.2291
136.4686, 165.3880
136.9508, 168.5664
137.4329, 177.5275
137.9150, 193.2827
138.3971, 207.0314
138.8792, 217.9402
139.3613, 225.7343
139.8434, 228.0486
140.3256, 223.8525
140.8077, 216.0103
141.2898, 206.1154
141.7719, 191.9638
142.2540, 182.7477
142.7361, 182.6420
143.2183, 193.5095
143.7004, 198.8334
144.1825, 195.6942
144.6646, 188.9577
145.1467, 186.3816
145.6288, 191.7708
146.1110, 195.9407
146.5931, 195.6947
147.0752, 188.3487
147.5573, 182.6736
148.0394, 179.7215
148.5215, 178.3831
149.0037, 175.7505
149.4858, 168.6714
149.9679, 162.9966
150.4500, 161.0352
150.9321, 167.0698
151.4142, 171.6815
151.8964, 175.4187
152.3785, 177.9595
152.8606, 177.6031
153.3427, 170.6474
153.8248, 163.0801
154.3069, 158.3636
154.7890, 159.7672
155.2712, 161.1625
155.7533, 162.1122
156.2354, 162.5267
156.7175, 161.0361
157.1996, 154.2574
157.6817, 146.8198
158.1639, 142.6773
158.6460, 147.7343
159.1281, 151.6884
