PE IR       RAMAN       SPECTRUM    ASCII       PEDS        1.60        	
-1	
RIBOSE.ASC	
00/04/27	
22:52.0	
00/04/27	
22:52.0	
	
"Ribose (4 cm-1, 256, medium, 400 mW)"	
200	
256	
	
	
	
	
	
	
	
	
	
"2000,4.07    "	
INGAAS	
RAM_DPY2	
QUARTZ	
	
0.1	
1	
4	
MEDIUM	
SINGLE	
RAMAN	
MAGN 0	
	
DOUBLE	
	
COMBINED	
1	
0	
0	
	
	
1	
SINGLE BEAM	
	
	
1	
0	
TRUE	
39836	
1	
0	
NONE	
NONE	
15600	
21.2	
8.170999	
39835	
TRUE	
1 0 0 0 0 0 0 0 	
	
15798.01	
9394.69	
400	
	
	
	
	
#HDR	
-1	
-1	
#GR	
CM-1	
INT	
0.001	
0	
3600	
-1	
3401	
8	
34.142947	
0.009059	
#DATA	
3600	0.01564
3599	0.015926
3598	0.013828
3597	0.01254
3596	0.010609
3595	0.009059
3594	0.011849
3593	0.016474
3592	0.016903
3591	0.015377
3590	0.018024
3589	0.021862
3588	0.0211
3587	0.020837
3586	0.027799
3585	0.035405
3584	0.036096
3583	0.036859
3582	0.043439
3581	0.044894
3580	0.034856
3579	0.027751
3578	0.032782
3577	0.036644
3576	0.031661
3575	0.031995
3574	0.042939
3573	0.047826
3572	0.0427
3571	0.045347
3570	0.056815
3569	0.055456
3568	0.038886
3567	0.028276
3566	0.027608
3565	0.024366
3564	0.026941
3563	0.051355
3562	0.078511
3561	0.076794
3560	0.055623
3559	0.046467
3558	0.049018
3557	0.044775
3556	0.040602
3555	0.050926
3554	0.0633
3553	0.062894
3552	0.062584
3551	0.073981
3550	0.080776
3549	0.071406
3548	0.063395
3547	0.07081
3546	0.082325
3545	0.090193
3544	0.104165
3543	0.122976
3542	0.128746
3541	0.118851
3540	0.111269
3539	0.112342
3538	0.109934
3537	0.099444
3536	0.091719
3535	0.093793
3534	0.101089
3533	0.109314
3532	0.120496
3531	0.135397
3530	0.145459
3529	0.140261
3528	0.125622
3527	0.121951
3526	0.134038
3525	0.141763
3524	0.135135
3523	0.133609
3522	0.149035
3521	0.163626
3520	0.166082
3519	0.172066
3518	0.18773
3517	0.195693
3516	0.194525
3515	0.205469
3514	0.227856
3513	0.238204
3512	0.238037
3511	0.249147
3510	0.264525
3509	0.262141
3508	0.256943
3507	0.277996
3506	0.309777
3505	0.318408
3504	0.314331
3503	0.327563
3502	0.348639
3501	0.352764
3500	0.351023
3499	0.364279
3498	0.381422
3497	0.386762
3496	0.39277
3495	0.40977
3494	0.420737
3493	0.415253
